Location,Lat,Long
Home Ithaca,42.48487171,-76.48299442
Emerson Hall,42.44815712,-76.47578226
Home Ithaca1,42.45334124,-76.49865573
Corning Museum of Glass,42.14979357,-77.05416536
Two Goats Brewing,42.47690895,-76.86936671
Bethesda Terrace,40.77382838,-73.97102083
Bow Bridge,40.77577268,-73.97175545
Umpire Rock,40.76906139,-73.97788493
Empire State Building,40.74849808,-73.98597708
East Coast Memorial,40.7020805,-74.01596539
World Trade Center,40.71165222,-74.01292709
Hancock International Airport,43.11522334,-76.11217503
